iter	Passed	Remaining
0	132	132444
1	135	67836
2	139	46351
3	142	35422
4	144	28793
5	147	24397
6	150	21298
7	152	18902
8	154	17029
9	157	15548
10	159	14332
11	162	13359
12	164	12522
13	167	11813
14	170	11178
15	172	10617
16	174	10105
17	178	9724
18	180	9329
19	182	8957
20	184	8615
21	186	8288
22	188	8000
23	190	7738
24	192	7489
25	193	7261
26	195	7049
27	197	6839
28	198	6633
29	199	6440
30	200	6259
31	201	6089
32	202	5934
33	203	5790
34	204	5650
35	206	5535
36	208	5417
37	209	5303
38	210	5190
39	211	5083
40	212	4979
41	213	4880
42	215	4785
43	216	4694
44	217	4612
45	218	4532
46	219	4459
47	221	4384
48	222	4321
49	223	4248
50	225	4189
51	225	4119
52	226	4050
53	227	3986
54	228	3922
55	229	3861
56	229	3802
57	230	3745
58	231	3689
59	232	3635
60	232	3584
61	233	3540
62	235	3498
63	236	3464
64	238	3428
65	239	3386
66	240	3342
67	240	3300
68	241	3260
69	242	3220
70	243	3182
71	244	3145
72	244	3109
73	245	3073
74	246	3037
75	247	3004
76	248	2974
77	249	2952
78	251	2929
79	253	2911
80	254	2882
81	254	2853
82	255	2821
83	256	2795
84	257	2768
85	257	2741
86	258	2715
87	259	2689
88	260	2664
89	261	2639
90	261	2616
91	263	2596
92	264	2575
93	265	2561
94	266	2542
95	268	2526
96	269	2509
97	270	2489
98	271	2468
99	272	2448
100	272	2429
101	273	2410
102	274	2391
103	275	2372
104	276	2355
105	277	2340
106	279	2329
107	280	2313
108	281	2299
109	282	2285
110	283	2269
111	284	2253
112	284	2236
113	285	2220
114	286	2204
115	287	2188
116	287	2172
117	288	2156
118	289	2141
119	290	2127
120	290	2113
121	291	2100
122	293	2092
123	294	2082
124	296	2077
125	297	2066
126	298	2052
127	299	2039
128	300	2027
129	301	2014
130	301	2002
131	302	1991
132	303	1978
133	304	1967
134	305	1956
135	306	1947
136	308	1940
137	308	1929
138	310	1921
139	310	1910
140	311	1899
141	312	1886
142	313	1875
143	313	1865
144	314	1854
145	315	1844
146	316	1834
147	316	1823
148	317	1813
149	318	1803
150	319	1793
151	320	1786
152	321	1781
153	322	1773
154	324	1766
155	324	1757
156	325	1748
157	326	1739
158	327	1730
159	327	1721
160	328	1711
161	329	1702
162	329	1693
163	330	1685
164	331	1677
165	332	1668
166	332	1660
167	333	1652
168	334	1646
169	336	1641
170	337	1634
171	338	1629
172	339	1622
173	340	1614
174	340	1607
175	341	1599
176	342	1592
177	343	1584
178	343	1577
179	344	1569
180	345	1562
181	346	1555
182	346	1548
183	347	1541
184	348	1535
185	349	1530
186	351	1527
187	352	1522
188	353	1518
189	355	1514
190	356	1508
191	357	1502
192	357	1495
193	358	1489
194	359	1482
195	359	1476
196	360	1470
197	361	1464
198	362	1457
199	362	1451
200	364	1447
201	365	1444
202	366	1439
203	368	1437
204	369	1432
205	370	1427
206	371	1421
207	372	1416
208	372	1411
209	373	1406
210	374	1400
211	375	1395
212	376	1390
213	377	1385
214	378	1380
215	379	1377
216	381	1375
217	382	1372
218	383	1367
219	384	1362
220	385	1357
221	386	1353
222	387	1348
223	387	1343
224	388	1339
225	389	1334
226	390	1329
227	391	1324
228	392	1320
229	393	1316
230	395	1316
231	396	1313
232	398	1312
233	399	1308
234	400	1303
235	401	1299
236	402	1295
237	403	1290
238	403	1286
239	404	1281
240	405	1277
241	406	1274
242	408	1273
243	410	1272
244	411	1268
245	413	1266
246	414	1262
247	415	1258
248	415	1254
249	416	1249
250	417	1245
251	418	1241
252	419	1237
253	419	1233
254	420	1229
255	421	1225
256	423	1223
257	425	1222
258	426	1219
259	428	1220
260	429	1216
261	430	1212
262	431	1207
263	431	1203
264	432	1199
265	433	1195
266	434	1191
267	434	1187
268	435	1183
269	436	1179
270	437	1176
271	439	1175
272	443	1179
273	444	1177
274	445	1174
275	446	1170
276	446	1166
277	447	1162
278	448	1158
279	449	1155
280	450	1151
281	450	1147
282	451	1143
283	452	1141
284	454	1140
285	455	1138
286	457	1135
287	457	1132
288	458	1128
289	459	1124
290	460	1121
291	461	1117
292	461	1114
293	462	1110
294	463	1107
295	464	1103
296	464	1100
297	465	1096
298	466	1093
299	467	1091
300	469	1090
301	470	1087
302	472	1085
303	472	1082
304	473	1079
